Stkcd,Chgtype,Annoudt
838,AB,2001/2/16
838,BA,2004/4/28
838,AD,2012/3/30
838,DA,2013/4/17
851,AB,2002/3/26
851,BD,2003/12/9
851,DB,2004/4/15
851,BA,2005/3/17
856,AD,2005/4/12
856,DA,2007/1/9
856,AD,2009/4/9
856,DB,2010/5/6
856,BA,2012/8/7
856,AD,2016/4/8
856,DA,2017/4/6
862,AD,2005/4/25
862,DB,2006/7/13
862,BA,2007/5/10
863,AB,2005/4/29
863,BD,2006/5/8
863,DA,2012/7/30
866,AX,2006/4/20
880,AD,2005/4/27
880,DB,2007/4/27
880,BA,2008/5/30
885,AB,2002/4/16
885,BD,2004/1/8
885,DB,2004/4/22
885,BD,2006/4/26
885,DB,2007/6/21
885,BA,2008/6/17
887,AB,2005/4/19
887,BD,2005/4/20
887,DB,2006/11/22
887,BA,2008/3/6
892,AB,2006/4/28
892,BD,2007/4/30
892,DB,2009/5/18
892,BD,2011/2/25
892,DA,2013/3/27
892,AD,2015/4/22
892,DA,2016/2/24
893,AB,2002/4/8
893,BA,2003/3/14
893,AD,2018/4/28
898,AD,2013/3/28
898,DA,2014/4/9
899,AD,2012/4/11
899,DA,2013/4/26
902,AD,2010/3/5
902,DA,2011/4/11
902,AD,2014/3/26
902,DA,2014/4/9
906,AD,2008/4/15
906,DA,2009/4/2
908,AD,2005/4/28
908,DA,2006/10/26
908,AD,2010/2/11
908,DB,2011/5/31
908,BD,2013/4/26
908,DA,2014/3/10
912,AD,2015/4/8
912,DA,2016/3/14
912,AD,2017/12/14
913,AD,2016/4/20
913,DA,2017/5/12
916,AX,2017/12/21
918,AD,2006/2/28
918,DB,2008/3/7
918,BD,2009/4/28
918,DA,2009/10/19
920,AD,2007/4/20
920,DA,2008/8/5
921,AB,2002/4/25
921,BA,2003/6/3
921,AD,2006/6/29
921,DB,2007/7/24
921,BA,2013/4/22
922,AD,2007/4/17
922,DB,2008/10/10
922,BD,2010/4/15
922,DB,2011/5/13
922,BA,2013/1/24
922,AD,2017/3/18
922,DA,2018/11/26
925,AD,2006/4/28
925,DB,2008/12/24
925,BA,2009/6/4
927,AB,2003/4/28
927,BD,2003/4/30
927,DA,2004/5/12
927,AD,2015/4/1
927,DA,2016/4/15
928,AD,2006/4/25
928,DB,2007/5/31
928,BA,2009/5/18
928,AD,2014/3/21
928,DA,2014/9/29
931,AD,2004/4/26
931,DA,2005/5/12
932,AD,2017/4/29
932,DA,2018/3/8
933,AD,2016/4/19
933,DA,2017/4/28
935,AD,2008/4/29
935,DB,2009/5/20
935,BA,2010/10/29
939,AD,2018/6/29
950,AD,2004/4/26
950,DB,2005/4/18
950,BA,2007/4/5
950,AD,2016/4/22
950,DA,2018/8/20
951,AB,2003/4/10
951,BD,2003/4/30
951,DA,2005/3/21
953,AD,2010/4/12
953,DB,2011/5/19
953,BD,2013/4/25
953,DA,2014/4/28
953,AD,2017/3/1
953,DB,2018/6/8
955,AD,2009/4/27
955,DB,2010/6/3
955,BA,2013/5/7
956,AX,2006/4/20
958,AD,2010/4/27
958,DB,2011/5/20
958,BD,2013/4/26
958,DA,2014/4/2
962,AD,2016/4/19
962,DA,2017/3/31
965,AD,2007/4/10
965,DA,2008/5/8
967,AD,2006/4/13
967,DA,2007/8/23
968,AD,2016/3/18
968,DA,2017/5/12
971,AD,2008/4/11
971,DB,2009/7/27
971,BA,2013/4/17
972,AD,2012/4/27
972,DA,2013/11/5
972,AD,2017/4/15
972,DB,2018/11/1
976,AD,2010/4/26
976,DA,2011/3/28
976,AD,2015/3/10
976,DA,2016/2/24
979,AD,2006/4/11
979,DB,2007/4/10
979,BD,2009/2/13
979,DA,2010/3/16
980,AB,2003/4/9
980,BD,2003/4/30
980,DB,2004/2/12
980,BA,2005/4/6
981,AB,2007/4/27
981,BD,2008/4/16
981,DB,2011/8/19
981,BA,2012/4/6
982,AD,2007/4/12
982,DA,2008/6/17
982,AD,2017/4/29
993,AD,2005/4/3
993,DA,2006/7/5
995,AD,2004/4/16
995,DA,2005/4/22
995,AD,2009/4/21
995,DB,2010/6/23
995,BA,2013/4/2
995,AD,2015/4/27
995,DA,2017/6/14
995,AD,2018/4/28
1696,AB,2000/4/25
1696,BA,2004/2/23
1896,AD,2010/4/2
1896,DA,2011/4/18
2002,AB,2008/12/26
2002,BD,2009/4/30
2002,DB,2010/4/9
2002,BA,2013/2/1
2006,AD,2014/4/28
2006,DA,2015/2/27
2015,AB,2014/3/20
2015,BD,2014/4/29
2015,DA,2016/2/24
2018,AD,2018/4/27
2019,AD,2012/4/26
2019,DA,2013/5/9
2047,AD,2013/4/12
2047,DA,2014/1/10
2061,AD,2016/2/29
2061,DA,2017/3/13
2069,AD,2016/5/3
2069,DA,2017/3/31
2070,AD,2017/5/2
2072,AD,2010/4/28
2072,DB,2011/6/2
2072,BA,2013/5/22
2075,AB,2008/9/1
2075,BD,2009/4/27
2075,DA,2011/3/30
2102,AD,2012/4/25
2102,DA,2013/5/6
2102,AB,2018/10/15
2109,AD,2016/2/29
2109,DA,2017/3/27
2113,AB,2010/10/19
2113,BD,2011/4/27
2113,DB,2012/5/21
2113,BA,2013/3/28
2114,AD,2012/3/22
2114,DA,2013/4/17
2122,AD,2018/5/2
2127,AD,2014/3/10
2127,DA,2015/4/22
2134,AD,2014/4/11
2134,DA,2015/4/15
2134,AD,2017/4/28
2134,DA,2018/4/18
2145,AB,2009/4/21
2145,BD,2010/4/16
2145,DA,2012/12/26
2147,AB,2018/12/3
2160,AD,2014/3/10
2160,DA,2015/3/19
2162,AD,2013/2/7
2162,DA,2014/3/14
2163,AD,2014/4/28
2163,DA,2015/5/5
2164,AD,2014/4/22
2164,DA,2015/3/13
2173,AD,2016/4/18
2173,DA,2017/4/20
2188,AB,2018/2/7
2188,BD,2018/4/27
2192,AD,2015/3/20
2192,DA,2016/2/4
2194,AD,2018/4/26
2199,AD,2016/4/25
2199,DA,2017/3/14
2200,AD,2011/5/3
2200,DA,2014/3/4
2207,AD,2017/4/27
2207,DB,2018/9/10
2217,AD,2014/4/24
2217,DA,2015/4/13
2234,AD,2014/4/21
2234,DA,2015/4/2
2248,AD,2014/4/28
2248,DA,2015/4/29
2248,AD,2017/4/26
2248,DA,2018/4/13
2259,AB,2018/10/8
2260,AD,2018/4/27
2263,AD,2018/4/27
2265,AD,2013/3/26
2265,DA,2014/4/2
2289,AD,2016/4/29
2289,DA,2017/5/17
2306,AD,2015/4/29
2306,DA,2016/5/13
2306,AD,2017/4/26
2312,AD,2017/4/27
2312,DA,2018/5/8
2323,AD,2018/7/5
2336,AD,2016/4/19
2336,DA,2017/4/27
2373,AD,2014/4/10
2373,DA,2014/6/13
2379,AD,2016/4/21
2379,DA,2017/5/23
2417,AD,2015/4/29
2417,DA,2016/3/22
2423,AD,2016/4/29
2423,DA,2017/4/20
2427,AB,2018/2/7
2427,BD,2018/5/2
2445,AB,2018/10/30
2459,AD,2014/3/14
2459,DA,2015/4/10
2473,AD,2017/4/28
2490,AD,2017/4/6
2490,DA,2018/4/13
2496,AB,2018/8/13
2504,AD,2017/5/2
2504,DA,2018/5/10
2506,AB,2013/1/31
2506,BD,2013/4/27
2506,DA,2015/8/6
2513,AD,2016/4/26
2513,DA,2017/4/6
2552,AD,2018/5/2
2570,AD,2018/4/26
2571,AD,2017/4/24
2571,DA,2018/4/9
2604,AB,2018/1/18
2604,BD,2018/4/27
2608,AD,2015/4/29
2608,DA,2017/4/18
2633,AD,2015/1/27
2633,DA,2016/3/29
2680,AB,2018/7/25
2680,BD,2018/11/2
300028,AA,2018/6/26
300028,AA,2018/8/8
300186,AX,2015/10/29
300372,AA,2017/6/23
300372,TX,2017/8/26
600001,AX,2009/12/26
600002,AX,2006/4/21
600003,AB,2007/6/29
600003,AX,2010/2/24
600005,AX,2017/2/8
600052,AD,2007/4/23
600052,DA,2008/6/12
600057,AB,2002/4/19
600057,BA,2003/4/18
600057,AD,2008/4/30
600057,DA,2011/8/23
600065,AD,2005/3/31
600065,SX,2007/12/7
600069,AD,2015/3/21
600069,DA,2016/4/1
600071,AD,2015/4/30
600071,DA,2016/3/8
600072,AD,2014/3/31
600072,DA,2015/5/8
600074,AD,2011/4/25
600074,DB,2012/6/11
600074,BA,2012/9/3
600074,AD,2013/4/26
600074,DA,2014/5/13
600074,AB,2017/12/28
600074,BD,2018/5/2
600075,AD,2014/3/28
600075,DA,2015/4/2
600076,AD,2006/4/20
600076,DB,2007/6/26
600076,BD,2009/3/16
600076,DB,2010/6/8
600076,BD,2012/4/16
600076,DA,2013/3/6
600077,AD,2004/4/22
600077,DA,2005/6/7
600077,AD,2010/2/26
600077,DB,2011/5/5
600077,BA,2011/10/31
600080,AD,2007/4/16
600080,DB,2008/6/5
600080,BD,2010/4/26
600080,DB,2011/7/5
600080,BA,2012/6/11
600082,AB,2002/3/20
600082,BA,2003/8/22
600083,AB,1998/4/30
600083,BC,2000/5/11
600083,CB,2002/5/14
600083,BD,2007/4/30
600083,DB,2008/6/24
600083,BD,2011/3/1
600083,DB,2012/4/25
600083,BA,2013/1/31
600084,AD,2007/4/26
600084,DB,2008/4/22
600084,BD,2010/3/10
600084,DB,2011/12/21
600084,BA,2012/8/28
600086,AD,2005/3/28
600086,DA,2006/6/1
600087,AD,2012/4/12
600087,SX,2014/6/4
600090,AB,2003/11/24
600090,BD,2005/4/26
600090,DB,2006/5/23
600090,BA,2008/1/2
600091,AD,2010/4/30
600091,DB,2011/8/3
600091,BD,2015/4/30
600091,DB,2016/3/29
600092,AD,2005/4/29
600092,AX,2006/11/24
600093,AD,2006/4/20
600093,DA,2007/8/23
600094,AD,2007/4/30
600094,BA,2012/2/29
600094,DB,2011/9/28
600097,AB,2000/7/14
600097,BA,2002/3/19
600101,AD,2007/4/30
600101,DA,2008/3/12
600102,AX,2012/2/24
600112,AD,2017/4/26
600112,DA,2018/5/4
600115,AB,2009/4/16
600115,BA,2010/5/27
600121,AD,2017/4/18
600121,DA,2018/4/11
600130,AD,2009/4/24
600130,DB,2010/6/29
600130,BA,2012/7/16
600131,AD,2010/4/15
600131,DA,2011/4/13
600136,AD,2006/5/8
600136,DB,2007/5/25
600136,BA,2009/8/18
600137,AB,2000/4/25
600137,BA,2001/3/5
600137,AB,2002/7/15
600137,BD,2003/4/30
600137,DB,2004/2/26
600137,BD,2006/2/24
600137,DB,2007/10/16
600137,BA,2008/6/11
600139,BD,2003/4/10
600139,AB,2003/4/10
600139,DB,2004/1/16
600139,BA,2005/3/11
600139,AD,2007/4/9
600139,DB,2008/5/30
600139,BA,2009/5/19
600145,AD,2010/4/30
600145,DB,2011/10/27
600145,BA,2012/8/28
600145,AD,2014/4/30
600146,AD,2005/2/23
600146,DA,2006/4/24
